Evaluations;BestFitness;SolutionArray
50;2.5;[2, 3, 3, 2, 2, 2, 0, 3]
100;136.33333333333334;[2, 2, 2, 2, 0, 3, 1, 1]
150;136.33333333333334;[2, 2, 2, 2, 0, 3, 1, 1]
200;136.33333333333334;[2, 2, 2, 2, 0, 3, 1, 1]
250;136.33333333333334;[2, 2, 2, 2, 0, 3, 1, 1]
300;681.0;[2, 2, 2, 2, 2, 2, 0, 3]
350;681.0;[2, 2, 2, 2, 2, 2, 0, 3]
400;681.0;[2, 2, 2, 2, 2, 2, 0, 3]
450;681.0;[2, 2, 2, 2, 2, 2, 0, 3]
500;681.0;[2, 2, 2, 2, 2, 2, 0, 3]
550;681.0;[2, 2, 2, 2, 2, 2, 0, 3]
600;681.0;[2, 2, 2, 2, 2, 2, 0, 3]
650;681.0;[2, 2, 2, 2, 2, 2, 0, 3]
700;681.0;[2, 2, 2, 2, 2, 2, 0, 3]
750;681.0;[2, 2, 2, 2, 2, 2, 0, 3]
800;681.0;[2, 2, 2, 2, 2, 2, 0, 3]
850;681.0;[2, 2, 2, 2, 2, 2, 0, 3]
900;681.0;[2, 2, 2, 2, 2, 2, 0, 3]
950;681.0;[2, 2, 2, 2, 2, 2, 0, 3]
1000;681.0;[2, 2, 2, 2, 2, 2, 0, 3]
1050;681.0;[2, 2, 2, 2, 2, 2, 0, 3]
1100;681.0;[2, 2, 2, 2, 2, 2, 0, 3]
1150;681.0;[2, 2, 2, 2, 2, 2, 0, 3]
1200;681.0;[2, 2, 2, 2, 2, 2, 0, 3]
1250;681.0;[2, 2, 2, 2, 2, 2, 0, 3]
1300;681.0;[2, 2, 2, 2, 2, 2, 0, 3]
1350;681.0;[2, 2, 2, 2, 2, 2, 0, 3]
1400;681.0;[2, 2, 2, 2, 2, 2, 0, 3]
1450;681.0;[2, 2, 2, 2, 2, 2, 0, 3]
1500;681.0;[2, 2, 2, 2, 2, 2, 0, 3]
1550;681.0;[2, 2, 2, 2, 2, 2, 0, 3]
1600;681.0;[2, 2, 2, 2, 2, 2, 0, 3]
1650;681.0;[2, 2, 2, 2, 2, 2, 0, 3]
1700;681.0;[2, 2, 2, 2, 2, 2, 0, 3]
1750;681.0;[2, 2, 2, 2, 2, 2, 0, 3]
1800;681.0;[2, 2, 2, 2, 2, 2, 0, 3]
1850;681.0;[2, 2, 2, 2, 2, 2, 0, 3]
1900;681.0;[2, 2, 2, 2, 2, 2, 0, 3]
1950;681.0;[2, 2, 2, 2, 2, 2, 0, 3]
2000;681.0;[2, 2, 2, 2, 2, 2, 0, 3]
2050;681.0;[2, 2, 2, 2, 2, 2, 0, 3]
2100;681.0;[2, 2, 2, 2, 2, 2, 0, 3]
2150;681.0;[2, 2, 2, 2, 2, 2, 0, 3]
2200;681.0;[2, 2, 2, 2, 2, 2, 0, 3]
2250;681.0;[2, 2, 2, 2, 2, 2, 0, 3]
2300;681.0;[2, 2, 2, 2, 2, 2, 0, 3]
2350;681.0;[2, 2, 2, 2, 2, 2, 0, 3]
2400;681.0;[2, 2, 2, 2, 2, 2, 0, 3]
2450;681.0;[2, 2, 2, 2, 2, 2, 0, 3]
2500;681.0;[2, 2, 2, 2, 2, 2, 0, 3]
2550;681.0;[2, 2, 2, 2, 2, 2, 0, 3]
2600;681.0;[2, 2, 2, 2, 2, 2, 0, 3]
2650;681.0;[2, 2, 2, 2, 2, 2, 0, 3]
2700;681.0;[2, 2, 2, 2, 2, 2, 0, 3]
2750;681.0;[2, 2, 2, 2, 2, 2, 0, 3]
2800;681.0;[2, 2, 2, 2, 2, 2, 0, 3]
2850;681.0;[2, 2, 2, 2, 2, 2, 0, 3]
2900;681.0;[2, 2, 2, 2, 2, 2, 0, 3]
2950;681.0;[2, 2, 2, 2, 2, 2, 0, 3]
3000;681.0;[2, 2, 2, 2, 2, 2, 0, 3]
3050;681.0;[2, 2, 2, 2, 2, 2, 0, 3]
3100;681.0;[2, 2, 2, 2, 2, 2, 0, 3]
3150;681.0;[2, 2, 2, 2, 2, 2, 0, 3]
3200;681.0;[2, 2, 2, 2, 2, 2, 0, 3]
3250;681.0;[2, 2, 2, 2, 2, 2, 0, 3]
3300;681.0;[2, 2, 2, 2, 2, 2, 0, 3]
3350;681.0;[2, 2, 2, 2, 2, 2, 0, 3]
3400;681.0;[2, 2, 2, 2, 2, 2, 0, 3]
3450;681.0;[2, 2, 2, 2, 2, 2, 0, 3]
3500;681.0;[2, 2, 2, 2, 2, 2, 0, 3]
3550;681.0;[2, 2, 2, 2, 2, 2, 0, 3]
3600;681.0;[2, 2, 2, 2, 2, 2, 0, 3]
3650;681.0;[2, 2, 2, 2, 2, 2, 0, 3]
3700;681.0;[2, 2, 2, 2, 2, 2, 0, 3]
3750;681.0;[2, 2, 2, 2, 2, 2, 0, 3]
3800;681.0;[2, 2, 2, 2, 2, 2, 0, 3]
3850;681.0;[2, 2, 2, 2, 2, 2, 0, 3]
3900;681.0;[2, 2, 2, 2, 2, 2, 0, 3]
3950;681.0;[2, 2, 2, 2, 2, 2, 0, 3]
4000;681.0;[2, 2, 2, 2, 2, 2, 0, 3]
4050;681.0;[2, 2, 2, 2, 2, 2, 0, 3]
4100;681.0;[2, 2, 2, 2, 2, 2, 0, 3]
4150;681.0;[2, 2, 2, 2, 2, 2, 0, 3]
4200;681.0;[2, 2, 2, 2, 2, 2, 0, 3]
4250;681.0;[2, 2, 2, 2, 2, 2, 0, 3]
4300;681.0;[2, 2, 2, 2, 2, 2, 0, 3]
4350;681.0;[2, 2, 2, 2, 2, 2, 0, 3]
4400;681.0;[2, 2, 2, 2, 2, 2, 0, 3]
4450;681.0;[2, 2, 2, 2, 2, 2, 0, 3]
4500;681.0;[2, 2, 2, 2, 2, 2, 0, 3]
4550;681.0;[2, 2, 2, 2, 2, 2, 0, 3]
4600;681.0;[2, 2, 2, 2, 2, 2, 0, 3]
4650;681.0;[2, 2, 2, 2, 2, 2, 0, 3]
4700;681.0;[2, 2, 2, 2, 2, 2, 0, 3]
4750;681.0;[2, 2, 2, 2, 2, 2, 0, 3]
4800;681.0;[2, 2, 2, 2, 2, 2, 0, 3]
4850;681.0;[2, 2, 2, 2, 2, 2, 0, 3]
4900;681.0;[2, 2, 2, 2, 2, 2, 0, 3]
4950;681.0;[2, 2, 2, 2, 2, 2, 0, 3]
5000;681.0;[2, 2, 2, 2, 2, 2, 0, 3]
