Evaluations;BestFitness;SolutionArray
50;0.0;[4, 4, 2, 1, 0, 2, 0, 0]
100;120.0;[2, 1, 1, 1, 0, 4, 3, 1]
150;120.0;[2, 1, 1, 1, 0, 4, 3, 1]
200;163.6;[2, 2, 2, 2, 0, 1, 2, 3]
250;163.6;[2, 2, 2, 2, 0, 1, 2, 3]
300;2077.6666666666665;[1, 1, 1, 1, 0, 1, 2, 4]
350;2077.6666666666665;[1, 1, 1, 1, 0, 1, 2, 4]
400;2077.6666666666665;[1, 1, 1, 1, 0, 1, 2, 4]
450;2077.6666666666665;[1, 1, 1, 1, 0, 1, 2, 4]
500;2077.6666666666665;[1, 1, 1, 1, 0, 1, 2, 4]
550;2077.6666666666665;[1, 1, 1, 1, 0, 1, 2, 4]
600;2077.6666666666665;[1, 1, 1, 1, 0, 1, 2, 4]
650;2077.6666666666665;[1, 1, 1, 1, 0, 1, 2, 4]
700;2077.6666666666665;[1, 1, 1, 1, 0, 1, 2, 4]
750;2077.6666666666665;[1, 1, 1, 1, 0, 1, 2, 4]
800;2077.6666666666665;[1, 1, 1, 1, 0, 1, 2, 4]
850;2077.6666666666665;[1, 1, 1, 1, 0, 1, 2, 4]
900;2077.6666666666665;[1, 1, 1, 1, 0, 1, 2, 4]
950;2077.6666666666665;[1, 1, 1, 1, 0, 1, 2, 4]
1000;2077.6666666666665;[1, 1, 1, 1, 0, 1, 2, 4]
1050;2077.6666666666665;[1, 1, 1, 1, 0, 1, 2, 4]
1100;2077.6666666666665;[1, 1, 1, 1, 0, 1, 2, 4]
1150;2077.6666666666665;[1, 1, 1, 1, 0, 1, 2, 4]
1200;2077.6666666666665;[1, 1, 1, 1, 0, 1, 2, 4]
1250;2077.6666666666665;[1, 1, 1, 1, 0, 1, 2, 4]
1300;2077.6666666666665;[1, 1, 1, 1, 0, 1, 2, 4]
1350;2077.6666666666665;[1, 1, 1, 1, 0, 1, 2, 4]
1400;2077.6666666666665;[1, 1, 1, 1, 0, 1, 2, 4]
1450;2077.6666666666665;[1, 1, 1, 1, 0, 1, 2, 4]
1500;2077.6666666666665;[1, 1, 1, 1, 0, 1, 2, 4]
1550;2077.6666666666665;[1, 1, 1, 1, 0, 1, 2, 4]
1600;2077.6666666666665;[1, 1, 1, 1, 0, 1, 2, 4]
1650;2077.6666666666665;[1, 1, 1, 1, 0, 1, 2, 4]
1700;2077.6666666666665;[1, 1, 1, 1, 0, 1, 2, 4]
1750;2077.6666666666665;[1, 1, 1, 1, 0, 1, 2, 4]
1800;2077.6666666666665;[1, 1, 1, 1, 0, 1, 2, 4]
1850;2077.6666666666665;[1, 1, 1, 1, 0, 1, 2, 4]
1900;2077.6666666666665;[1, 1, 1, 1, 0, 1, 2, 4]
1950;2077.6666666666665;[1, 1, 1, 1, 0, 1, 2, 4]
2000;2077.6666666666665;[1, 1, 1, 1, 0, 1, 2, 4]
2050;2077.6666666666665;[1, 1, 1, 1, 0, 1, 2, 4]
2100;2077.6666666666665;[1, 1, 1, 1, 0, 1, 2, 4]
2150;2077.6666666666665;[1, 1, 1, 1, 0, 1, 2, 4]
2200;2077.6666666666665;[1, 1, 1, 1, 0, 1, 2, 4]
2250;2077.6666666666665;[1, 1, 1, 1, 0, 1, 2, 4]
2300;2077.6666666666665;[1, 1, 1, 1, 0, 1, 2, 4]
2350;2077.6666666666665;[1, 1, 1, 1, 0, 1, 2, 4]
2400;2077.6666666666665;[1, 1, 1, 1, 0, 1, 2, 4]
2450;2077.6666666666665;[1, 1, 1, 1, 0, 1, 2, 4]
2500;14801.5;[1, 1, 1, 1, 1, 1, 0, 4]
2550;14801.5;[1, 1, 1, 1, 1, 1, 0, 4]
2600;14801.5;[1, 1, 1, 1, 1, 1, 0, 4]
2650;14801.5;[1, 1, 1, 1, 1, 1, 0, 4]
2700;14801.5;[1, 1, 1, 1, 1, 1, 0, 4]
2750;14801.5;[1, 1, 1, 1, 1, 1, 0, 4]
2800;14801.5;[1, 1, 1, 1, 1, 1, 0, 4]
2850;14801.5;[1, 1, 1, 1, 1, 1, 0, 4]
2900;14801.5;[1, 1, 1, 1, 1, 1, 0, 4]
2950;14801.5;[1, 1, 1, 1, 1, 1, 0, 4]
3000;14801.5;[1, 1, 1, 1, 1, 1, 0, 4]
3050;14801.5;[1, 1, 1, 1, 1, 1, 0, 4]
3100;14801.5;[1, 1, 1, 1, 1, 1, 0, 4]
3150;14801.5;[1, 1, 1, 1, 1, 1, 0, 4]
3200;14801.5;[1, 1, 1, 1, 1, 1, 0, 4]
3250;14801.5;[1, 1, 1, 1, 1, 1, 0, 4]
3300;14801.5;[1, 1, 1, 1, 1, 1, 0, 4]
3350;14801.5;[1, 1, 1, 1, 1, 1, 0, 4]
3400;14801.5;[1, 1, 1, 1, 1, 1, 0, 4]
3450;14801.5;[1, 1, 1, 1, 1, 1, 0, 4]
3500;14801.5;[1, 1, 1, 1, 1, 1, 0, 4]
3550;14801.5;[1, 1, 1, 1, 1, 1, 0, 4]
3600;14801.5;[1, 1, 1, 1, 1, 1, 0, 4]
3650;14801.5;[1, 1, 1, 1, 1, 1, 0, 4]
3700;14801.5;[1, 1, 1, 1, 1, 1, 0, 4]
3750;14801.5;[1, 1, 1, 1, 1, 1, 0, 4]
3800;14801.5;[1, 1, 1, 1, 1, 1, 0, 4]
3850;14801.5;[1, 1, 1, 1, 1, 1, 0, 4]
3900;14801.5;[1, 1, 1, 1, 1, 1, 0, 4]
3950;14801.5;[1, 1, 1, 1, 1, 1, 0, 4]
4000;14801.5;[1, 1, 1, 1, 1, 1, 0, 4]
4050;14801.5;[1, 1, 1, 1, 1, 1, 0, 4]
4100;14801.5;[1, 1, 1, 1, 1, 1, 0, 4]
4150;14801.5;[1, 1, 1, 1, 1, 1, 0, 4]
4200;14801.5;[1, 1, 1, 1, 1, 1, 0, 4]
4250;14801.5;[1, 1, 1, 1, 1, 1, 0, 4]
4300;14801.5;[1, 1, 1, 1, 1, 1, 0, 4]
4350;14801.5;[1, 1, 1, 1, 1, 1, 0, 4]
4400;14801.5;[1, 1, 1, 1, 1, 1, 0, 4]
4450;14801.5;[1, 1, 1, 1, 1, 1, 0, 4]
4500;14801.5;[1, 1, 1, 1, 1, 1, 0, 4]
4550;14801.5;[1, 1, 1, 1, 1, 1, 0, 4]
4600;14801.5;[1, 1, 1, 1, 1, 1, 0, 4]
4650;14801.5;[1, 1, 1, 1, 1, 1, 0, 4]
