Evaluations;BestFitness;SolutionArray
50;0.0;[4, 3, 4, 1, 3, 3, 4, 2]
100;63.0;[1, 1, 3, 3, 0, 1, 4, 2]
150;63.0;[1, 1, 3, 3, 0, 1, 4, 2]
200;150.83333333333334;[1, 1, 1, 3, 0, 1, 0, 3]
250;150.83333333333334;[1, 1, 1, 3, 0, 1, 0, 3]
300;185.16666666666666;[1, 1, 1, 3, 1, 1, 0, 3]
350;2077.6666666666665;[1, 1, 1, 1, 0, 0, 2, 0]
400;2077.6666666666665;[1, 1, 1, 1, 0, 0, 2, 0]
450;4385.666666666667;[1, 1, 1, 1, 1, 0, 3, 3]
500;4385.666666666667;[1, 1, 1, 1, 1, 0, 3, 3]
550;4385.666666666667;[1, 1, 1, 1, 1, 0, 3, 3]
600;14801.5;[1, 1, 1, 1, 1, 1, 0, 3]
650;14801.5;[1, 1, 1, 1, 1, 1, 0, 3]
700;14801.5;[1, 1, 1, 1, 1, 1, 0, 3]
750;14801.5;[1, 1, 1, 1, 1, 1, 0, 3]
800;14801.5;[1, 1, 1, 1, 1, 1, 0, 3]
850;14801.5;[1, 1, 1, 1, 1, 1, 0, 3]
900;14801.5;[1, 1, 1, 1, 1, 1, 0, 3]
950;14801.5;[1, 1, 1, 1, 1, 1, 0, 3]
1000;14801.5;[1, 1, 1, 1, 1, 1, 0, 3]
1050;14801.5;[1, 1, 1, 1, 1, 1, 0, 3]
1100;14801.5;[1, 1, 1, 1, 1, 1, 0, 3]
1150;14801.5;[1, 1, 1, 1, 1, 1, 0, 3]
1200;14801.5;[1, 1, 1, 1, 1, 1, 0, 3]
1250;14801.5;[1, 1, 1, 1, 1, 1, 0, 3]
1300;14801.5;[1, 1, 1, 1, 1, 1, 0, 3]
1350;14801.5;[1, 1, 1, 1, 1, 1, 0, 3]
1400;14801.5;[1, 1, 1, 1, 1, 1, 0, 3]
1450;14801.5;[1, 1, 1, 1, 1, 1, 0, 3]
1500;14801.5;[1, 1, 1, 1, 1, 1, 0, 3]
1550;14801.5;[1, 1, 1, 1, 1, 1, 0, 3]
1600;14801.5;[1, 1, 1, 1, 1, 1, 0, 3]
1650;14801.5;[1, 1, 1, 1, 1, 1, 0, 3]
1700;14801.5;[1, 1, 1, 1, 1, 1, 0, 3]
1750;14801.5;[1, 1, 1, 1, 1, 1, 0, 3]
1800;14801.5;[1, 1, 1, 1, 1, 1, 0, 3]
1850;14801.5;[1, 1, 1, 1, 1, 1, 0, 3]
1900;14801.5;[1, 1, 1, 1, 1, 1, 0, 3]
1950;14801.5;[1, 1, 1, 1, 1, 1, 0, 3]
2000;14801.5;[1, 1, 1, 1, 1, 1, 0, 3]
2050;14801.5;[1, 1, 1, 1, 1, 1, 0, 3]
2100;14801.5;[1, 1, 1, 1, 1, 1, 0, 3]
2150;14801.5;[1, 1, 1, 1, 1, 1, 0, 3]
2200;14801.5;[1, 1, 1, 1, 1, 1, 0, 3]
2250;14801.5;[1, 1, 1, 1, 1, 1, 0, 3]
2300;14801.5;[1, 1, 1, 1, 1, 1, 0, 3]
2350;14801.5;[1, 1, 1, 1, 1, 1, 0, 3]
2400;14801.5;[1, 1, 1, 1, 1, 1, 0, 3]
