Evaluations;BestFitness;SolutionArray
50;0.0;[2, 3, 4, 4, 0, 4, 4, 1]
100;99.16666666666667;[1, 3, 3, 3, 0, 4, 1, 0]
150;99.16666666666667;[1, 3, 3, 3, 0, 4, 1, 0]
200;99.16666666666667;[1, 3, 3, 3, 0, 4, 1, 0]
250;99.16666666666667;[1, 3, 3, 3, 0, 4, 1, 0]
300;99.16666666666667;[1, 3, 3, 3, 0, 4, 1, 0]
350;1942.8;[3, 3, 3, 3, 0, 4, 1, 3]
400;1942.8;[3, 3, 3, 3, 0, 4, 1, 3]
450;1942.8;[3, 3, 3, 3, 0, 4, 1, 3]
500;1942.8;[3, 3, 3, 3, 0, 4, 1, 3]
550;1942.8;[3, 3, 3, 3, 0, 4, 1, 3]
600;1942.8;[3, 3, 3, 3, 0, 4, 1, 3]
650;1942.8;[3, 3, 3, 3, 0, 4, 1, 3]
700;1942.8;[3, 3, 3, 3, 0, 4, 1, 3]
750;1942.8;[3, 3, 3, 3, 0, 4, 1, 3]
800;1942.8;[3, 3, 3, 3, 0, 4, 1, 3]
850;1942.8;[3, 3, 3, 3, 0, 4, 1, 3]
900;1942.8;[3, 3, 3, 3, 0, 4, 1, 3]
950;1942.8;[3, 3, 3, 3, 0, 4, 1, 3]
1000;1942.8;[3, 3, 3, 3, 0, 4, 1, 3]
1050;1942.8;[3, 3, 3, 3, 0, 4, 1, 3]
1100;1942.8;[3, 3, 3, 3, 0, 4, 1, 3]
1150;1942.8;[3, 3, 3, 3, 0, 4, 1, 3]
1200;1942.8;[3, 3, 3, 3, 0, 4, 1, 3]
1250;1942.8;[3, 3, 3, 3, 0, 4, 1, 3]
1300;1942.8;[3, 3, 3, 3, 0, 4, 1, 3]
1350;1942.8;[3, 3, 3, 3, 0, 4, 1, 3]
1400;1942.8;[3, 3, 3, 3, 0, 4, 1, 3]
1450;1942.8;[3, 3, 3, 3, 0, 4, 1, 3]
1500;1942.8;[3, 3, 3, 3, 0, 4, 1, 3]
1550;1942.8;[3, 3, 3, 3, 0, 4, 1, 3]
1600;1942.8;[3, 3, 3, 3, 0, 4, 1, 3]
1650;1942.8;[3, 3, 3, 3, 0, 4, 1, 3]
1700;1942.8;[3, 3, 3, 3, 0, 4, 1, 3]
1750;1942.8;[3, 3, 3, 3, 0, 4, 1, 3]
1800;1942.8;[3, 3, 3, 3, 0, 4, 1, 3]
1850;1942.8;[3, 3, 3, 3, 0, 4, 1, 3]
1900;1942.8;[3, 3, 3, 3, 0, 4, 1, 3]
1950;1942.8;[3, 3, 3, 3, 0, 4, 1, 3]
2000;1942.8;[3, 3, 3, 3, 0, 4, 1, 3]
2050;1942.8;[3, 3, 3, 3, 0, 4, 1, 3]
2100;1942.8;[3, 3, 3, 3, 0, 4, 1, 3]
2150;1942.8;[3, 3, 3, 3, 0, 4, 1, 3]
2200;1942.8;[3, 3, 3, 3, 0, 4, 1, 3]
2250;1942.8;[3, 3, 3, 3, 0, 4, 1, 3]
2300;1942.8;[3, 3, 3, 3, 0, 4, 1, 3]
2350;1942.8;[3, 3, 3, 3, 0, 4, 1, 3]
2400;1942.8;[3, 3, 3, 3, 0, 4, 1, 3]
2450;1942.8;[3, 3, 3, 3, 0, 4, 1, 3]
2500;1942.8;[3, 3, 3, 3, 0, 4, 1, 3]
2550;1942.8;[3, 3, 3, 3, 0, 4, 1, 3]
2600;1942.8;[3, 3, 3, 3, 0, 4, 1, 3]
2650;1942.8;[3, 3, 3, 3, 0, 4, 1, 3]
2700;1942.8;[3, 3, 3, 3, 0, 4, 1, 3]
2750;1942.8;[3, 3, 3, 3, 0, 4, 1, 3]
2800;1942.8;[3, 3, 3, 3, 0, 4, 1, 3]
2850;1942.8;[3, 3, 3, 3, 0, 4, 1, 3]
2900;1942.8;[3, 3, 3, 3, 0, 4, 1, 3]
2950;1942.8;[3, 3, 3, 3, 0, 4, 1, 3]
3000;1942.8;[3, 3, 3, 3, 0, 4, 1, 3]
3050;1942.8;[3, 3, 3, 3, 0, 4, 1, 3]
3100;1942.8;[3, 3, 3, 3, 0, 4, 1, 3]
3150;1942.8;[3, 3, 3, 3, 0, 4, 1, 3]
3200;1942.8;[3, 3, 3, 3, 0, 4, 1, 3]
3250;1942.8;[3, 3, 3, 3, 0, 4, 1, 3]
3300;1942.8;[3, 3, 3, 3, 0, 4, 1, 3]
3350;1942.8;[3, 3, 3, 3, 0, 4, 1, 3]
3400;1942.8;[3, 3, 3, 3, 0, 4, 1, 3]
3450;1942.8;[3, 3, 3, 3, 0, 4, 1, 3]
3500;1942.8;[3, 3, 3, 3, 0, 4, 1, 3]
3550;1942.8;[3, 3, 3, 3, 0, 4, 1, 3]
3600;1942.8;[3, 3, 3, 3, 0, 4, 1, 3]
3650;1942.8;[3, 3, 3, 3, 0, 4, 1, 3]
3700;1942.8;[3, 3, 3, 3, 0, 4, 1, 3]
3750;1942.8;[3, 3, 3, 3, 0, 4, 1, 3]
3800;1942.8;[3, 3, 3, 3, 0, 4, 1, 3]
3850;1942.8;[3, 3, 3, 3, 0, 4, 1, 3]
3900;1942.8;[3, 3, 3, 3, 0, 4, 1, 3]
3950;1942.8;[3, 3, 3, 3, 0, 4, 1, 3]
4000;1942.8;[3, 3, 3, 3, 0, 4, 1, 3]
4050;1942.8;[3, 3, 3, 3, 0, 4, 1, 3]
4100;1942.8;[3, 3, 3, 3, 0, 4, 1, 3]
4150;1942.8;[3, 3, 3, 3, 0, 4, 1, 3]
4200;1942.8;[3, 3, 3, 3, 0, 4, 1, 3]
4250;1942.8;[3, 3, 3, 3, 0, 4, 1, 3]
4300;1942.8;[3, 3, 3, 3, 0, 4, 1, 3]
4350;1942.8;[3, 3, 3, 3, 0, 4, 1, 3]
4400;1942.8;[3, 3, 3, 3, 0, 4, 1, 3]
4450;1942.8;[3, 3, 3, 3, 0, 4, 1, 3]
4500;1942.8;[3, 3, 3, 3, 0, 4, 1, 3]
4550;1942.8;[3, 3, 3, 3, 0, 4, 1, 3]
4600;1942.8;[3, 3, 3, 3, 0, 4, 1, 3]
4650;1942.8;[3, 3, 3, 3, 0, 4, 1, 3]
4700;1942.8;[3, 3, 3, 3, 0, 4, 1, 3]
4750;1942.8;[3, 3, 3, 3, 0, 4, 1, 3]
4800;1942.8;[3, 3, 3, 3, 0, 4, 1, 3]
4850;1942.8;[3, 3, 3, 3, 0, 4, 1, 3]
4900;1942.8;[3, 3, 3, 3, 0, 4, 1, 3]
4950;1942.8;[3, 3, 3, 3, 0, 4, 1, 3]
5000;1942.8;[3, 3, 3, 3, 0, 4, 1, 3]
