Evaluations;BestFitness;SolutionArray
50;0.0;[3, 4, 1, 2, 1, 0, 1, 3]
100;56.2;[3, 1, 1, 1, 1, 0, 1, 2]
150;56.2;[3, 1, 1, 1, 1, 0, 1, 2]
200;1619.0;[3, 3, 3, 3, 0, 3, 4, 1]
250;1619.0;[3, 3, 3, 3, 0, 3, 4, 1]
300;4385.666666666667;[1, 1, 1, 1, 1, 0, 1, 2]
350;4385.666666666667;[1, 1, 1, 1, 1, 0, 1, 2]
400;4385.666666666667;[1, 1, 1, 1, 1, 0, 1, 2]
450;4385.666666666667;[1, 1, 1, 1, 1, 0, 1, 2]
500;14801.5;[1, 1, 1, 1, 1, 1, 0, 4]
550;14801.5;[1, 1, 1, 1, 1, 1, 0, 4]
600;14801.5;[1, 1, 1, 1, 1, 1, 0, 4]
650;14801.5;[1, 1, 1, 1, 1, 1, 0, 4]
700;14801.5;[1, 1, 1, 1, 1, 1, 0, 4]
750;14801.5;[1, 1, 1, 1, 1, 1, 0, 4]
800;14801.5;[1, 1, 1, 1, 1, 1, 0, 4]
850;14801.5;[1, 1, 1, 1, 1, 1, 0, 4]
900;14801.5;[1, 1, 1, 1, 1, 1, 0, 4]
950;14801.5;[1, 1, 1, 1, 1, 1, 0, 4]
1000;14801.5;[1, 1, 1, 1, 1, 1, 0, 4]
1050;14801.5;[1, 1, 1, 1, 1, 1, 0, 4]
1100;14801.5;[1, 1, 1, 1, 1, 1, 0, 4]
1150;14801.5;[1, 1, 1, 1, 1, 1, 0, 4]
1200;14801.5;[1, 1, 1, 1, 1, 1, 0, 4]
1250;14801.5;[1, 1, 1, 1, 1, 1, 0, 4]
1300;14801.5;[1, 1, 1, 1, 1, 1, 0, 4]
1350;14801.5;[1, 1, 1, 1, 1, 1, 0, 4]
1400;14801.5;[1, 1, 1, 1, 1, 1, 0, 4]
1450;14801.5;[1, 1, 1, 1, 1, 1, 0, 4]
1500;14801.5;[1, 1, 1, 1, 1, 1, 0, 4]
1550;14801.5;[1, 1, 1, 1, 1, 1, 0, 4]
1600;14801.5;[1, 1, 1, 1, 1, 1, 0, 4]
1650;14801.5;[1, 1, 1, 1, 1, 1, 0, 4]
1700;14801.5;[1, 1, 1, 1, 1, 1, 0, 4]
1750;14801.5;[1, 1, 1, 1, 1, 1, 0, 4]
