Evaluations;BestFitness;SolutionArray
100;0.0;[2, 1, 1, 1, 2, 1, 4, 3]
200;2077.6666666666665;[1, 1, 1, 1, 0, 0, 2, 0]
300;2077.6666666666665;[1, 1, 1, 1, 0, 0, 2, 0]
400;2077.6666666666665;[1, 1, 1, 1, 0, 0, 2, 0]
500;2077.6666666666665;[1, 1, 1, 1, 0, 0, 2, 0]
600;2077.6666666666665;[1, 1, 1, 1, 0, 0, 2, 0]
700;2077.6666666666665;[1, 1, 1, 1, 0, 0, 2, 0]
800;2077.6666666666665;[1, 1, 1, 1, 0, 0, 2, 0]
900;2077.6666666666665;[1, 1, 1, 1, 0, 0, 2, 0]
1000;2077.6666666666665;[1, 1, 1, 1, 0, 0, 2, 0]
1100;2077.6666666666665;[1, 1, 1, 1, 0, 0, 2, 0]
1200;2077.6666666666665;[1, 1, 1, 1, 0, 0, 2, 0]
1300;2077.6666666666665;[1, 1, 1, 1, 0, 0, 2, 0]
1400;2077.6666666666665;[1, 1, 1, 1, 0, 0, 2, 0]
1500;2077.6666666666665;[1, 1, 1, 1, 0, 0, 2, 0]
1600;2077.6666666666665;[1, 1, 1, 1, 0, 0, 2, 0]
1700;2077.6666666666665;[1, 1, 1, 1, 0, 0, 2, 0]
1800;2077.6666666666665;[1, 1, 1, 1, 0, 0, 2, 0]
1900;2077.6666666666665;[1, 1, 1, 1, 0, 0, 2, 0]
2000;5262.8;[1, 1, 1, 1, 1, 0, 3, 2]
2100;5262.8;[1, 1, 1, 1, 1, 0, 3, 2]
2200;5262.8;[1, 1, 1, 1, 1, 0, 3, 2]
2300;5262.8;[1, 1, 1, 1, 1, 0, 3, 2]
2400;5262.8;[1, 1, 1, 1, 1, 0, 3, 2]
2500;5262.8;[1, 1, 1, 1, 1, 0, 3, 2]
2600;5262.8;[1, 1, 1, 1, 1, 0, 3, 2]
2700;5262.8;[1, 1, 1, 1, 1, 0, 3, 2]
2800;5262.8;[1, 1, 1, 1, 1, 0, 3, 2]
