Array;Mask;Score;Generacion
[2, 3, 4, 4, 0, 4, 4, 1];?u?d?s?s;-0.0;1
[3, 1, 2, 3, 3, 0, 4, 3];?d?l?u?d?d;-0.25;1
[4, 2, 3, 2, 2, 1, 2, 4];?s?u?d?u?u?l?u?s;-0.0;1
[4, 2, 1, 4, 1, 2, 0, 1];?s?u?l?s?l?u;-0.0;1
[3, 2, 4, 2, 3, 0, 0, 0];?d?u?s?u?d;-0.0;1
[4, 3, 2, 2, 1, 1, 3, 1];?s?d?u?u?l?l?d?l;-0.0;1
[4, 4, 3, 1, 1, 3, 3, 3];?s?s?d?l?l?d?d?d;-0.0;1
[2, 4, 1, 1, 3, 1, 4, 0];?u?s?l?l?d?l?s;-0.0;1
[1, 1, 1, 1, 4, 1, 4, 1];?l?l?l?l?s?l?s?l;-0.06349206349206349;1
[3, 2, 3, 2, 1, 2, 0, 3];?d?u?d?u?l?u;-0.2;1
[2, 2, 2, 2, 4, 1, 3, 2];?u?u?u?u?s?l?d?u;-0.0;1
[4, 1, 4, 2, 3, 0, 4, 3];?s?l?s?u?d;-0.0;1
[1, 1, 4, 2, 0, 1, 4, 2];?l?l?s?u;-0.0;1
[4, 4, 2, 3, 4, 1, 0, 1];?s?s?u?d?s?l;-0.0;1
[2, 2, 4, 2, 2, 0, 1, 1];?u?u?s?u?u;-0.0;1
[1, 2, 3, 4, 1, 3, 1, 3];?l?u?d?s?l?d?l?d;-0.0;1
[4, 2, 2, 4, 4, 2, 3, 3];?s?u?u?s?s?u?d?d;-0.0;1
[3, 3, 3, 2, 4, 1, 3, 1];?d?d?d?u?s?l?d?l;-0.0;1
[4, 3, 1, 2, 4, 0, 1, 4];?s?d?l?u?s;-0.0;1
[1, 1, 1, 2, 0, 0, 3, 3];?l?l?l?u;-2.0;1
[1, 3, 1, 2, 1, 3, 3, 2];?l?d?l?u?l?d?d?u;-0.2222222222222222;1
[1, 2, 2, 3, 1, 0, 1, 0];?l?u?u?d?l;-1.75;1
[1, 2, 4, 2, 2, 3, 1, 3];?l?u?s?u?u?d?l?d;-0.0;1
[1, 4, 3, 1, 1, 0, 1, 2];?l?s?d?l?l;-0.16666666666666666;1
[1, 2, 1, 2, 2, 1, 3, 1];?l?u?l?u?u?l?d?l;-0.11666666666666667;1
[1, 2, 2, 3, 3, 2, 0, 2];?l?u?u?d?d?u;-0.8;1
[4, 2, 2, 4, 2, 0, 0, 4];?s?u?u?s?u;-0.0;1
[1, 1, 4, 2, 4, 4, 2, 4];?l?l?s?u?s?s?u?s;-0.0;1
[2, 4, 2, 3, 1, 0, 0, 3];?u?s?u?d?l;-0.0;1
[1, 1, 2, 1, 0, 4, 3, 3];?l?l?u?l;-1.2;1
[1, 2, 1, 2, 0, 4, 2, 4];?l?u?l?u;-1.0;1
[1, 1, 2, 2, 1, 4, 3, 0];?l?l?u?u?l?s?d;-0.0;1
[3, 1, 2, 4, 0, 3, 1, 1];?d?l?u?s;-0.0;1
[1, 3, 3, 1, 1, 1, 1, 2];?l?d?d?l?l?l?l?u;-0.7142857142857143;1
[1, 3, 4, 1, 3, 0, 2, 1];?l?d?s?l?d;-0.0;1
[1, 3, 3, 3, 0, 4, 1, 0];?l?d?d?d;-99.16666666666667;1
[1, 2, 3, 3, 2, 4, 0, 0];?l?u?d?d?u?s;-0.0;1
[3, 1, 3, 1, 4, 2, 1, 4];?d?l?d?l?s?u?l?s;-0.0;1
[4, 4, 3, 1, 0, 4, 3, 3];?s?s?d?l;-0.0;1
[4, 3, 2, 2, 0, 2, 4, 0];?s?d?u?u;-0.0;1
[1, 3, 4, 2, 0, 2, 0, 3];?l?d?s?u;-0.0;1
[2, 1, 4, 4, 1, 2, 1, 1];?u?l?s?s?l?u?l?l;-0.0;1
[2, 2, 3, 1, 3, 0, 1, 0];?u?u?d?l?d;-1.2;1
[2, 1, 3, 4, 3, 1, 2, 4];?u?l?d?s?d?l?u?s;-0.0;1
[3, 2, 2, 1, 3, 4, 1, 4];?d?u?u?l?d?s?l?s;-0.0;1
[2, 3, 3, 3, 2, 3, 1, 2];?u?d?d?d?u?d?l?u;-0.0;1
[4, 4, 4, 3, 3, 4, 4, 2];?s?s?s?d?d?s?s?u;-0.0;1
[2, 3, 3, 3, 1, 3, 2, 0];?u?d?d?d?l?d?u;-0.0;1
[2, 3, 1, 2, 4, 3, 3, 1];?u?d?l?u?s?d?d?l;-0.0;1
[3, 1, 2, 4, 1, 2, 4, 2];?d?l?u?s?l?u?s?u;-0.0;1
[2, 4, 1, 1, 3, 1, 4, 0];?u?s?l?l?d?l?s;-0.0;2
[2, 2, 4, 2, 2, 0, 1, 1];?u?u?s?u?u;-0.0;2
[3, 2, 3, 2, 2, 4, 0, 0];?d?u?d?u?u?s;-0.0;2
[1, 2, 3, 3, 1, 2, 0, 3];?l?u?d?d?l?u;-0.3333333333333333;2
[2, 2, 4, 2, 2, 0, 1, 1];?u?u?s?u?u;-0.0;2
[4, 1, 4, 2, 3, 0, 4, 3];?s?l?s?u?d;-0.0;2
[3, 2, 3, 2, 1, 2, 0, 3];?d?u?d?u?l?u;-0.2;2
[1, 2, 2, 3, 1, 0, 1, 0];?l?u?u?d?l;-1.75;2
[1, 2, 3, 3, 2, 4, 0, 0];?l?u?d?d?u?s;-0.0;2
[1, 3, 3, 1, 1, 1, 1, 2];?l?d?d?l?l?l?l?u;-0.7142857142857143;2
[2, 4, 2, 3, 1, 0, 0, 3];?u?s?u?d?l;-0.0;2
[1, 3, 4, 2, 0, 2, 0, 3];?l?d?s?u;-0.0;2
[1, 2, 4, 2, 3, 0, 0, 0];?l?u?s?u?d;-0.0;2
[3, 2, 1, 2, 0, 4, 2, 4];?d?u?l?u;-0.0;2
[1, 3, 3, 2, 0, 2, 4, 0];?l?d?d?u;-0.2;2
[4, 3, 2, 3, 0, 4, 1, 0];?s?d?u?d;-0.0;2
[3, 2, 3, 2, 1, 0, 1, 0];?d?u?d?u?l;-0.6;2
[1, 2, 2, 3, 1, 2, 0, 3];?l?u?u?d?l?u;-2.2;2
[1, 1, 4, 2, 4, 4, 2, 2];?l?l?s?u?s?s?u?u;-0.0;2
[1, 1, 4, 2, 0, 1, 4, 4];?l?l?s?u;-0.0;2
[3, 1, 2, 2, 1, 1, 3, 1];?d?l?u?u?l?l?d?l;-0.04;2
[4, 3, 2, 4, 1, 2, 4, 2];?s?d?u?s?l?u?s?u;-0.0;2
[1, 1, 4, 3, 3, 0, 4, 3];?l?l?s?d?d;-0.5;2
[3, 1, 2, 2, 4, 4, 2, 4];?d?l?u?u?s?s?u?s;-0.0;2
[1, 1, 4, 2, 3, 0, 4, 3];?l?l?s?u?d;-0.0;2
[4, 1, 4, 2, 0, 1, 4, 2];?s?l?s?u;-0.0;2
[1, 4, 3, 1, 1, 0, 1, 2];?l?s?d?l?l;-0.16666666666666666;2
[1, 2, 2, 3, 3, 2, 0, 2];?l?u?u?d?d?u;-0.8;2
[2, 1, 3, 2, 1, 2, 0, 3];?u?l?d?u?l?u;-3.0;2
[3, 2, 3, 4, 3, 1, 2, 4];?d?u?d?s?d?l?u?s;-0.0;2
[1, 2, 4, 1, 1, 1, 1, 2];?l?u?s?l?l?l?l?u;-0.0;2
[1, 3, 3, 2, 2, 3, 1, 3];?l?d?d?u?u?d?l?d;-0.14285714285714285;2
[1, 2, 1, 2, 2, 1, 3, 1];?l?u?l?u?u?l?d?l;-0.11666666666666667;2
[2, 3, 4, 4, 0, 4, 4, 1];?u?d?s?s;-0.0;2
[1, 3, 1, 2, 1, 3, 3, 2];?l?d?l?u?l?d?d?u;-0.2222222222222222;2
[4, 2, 2, 4, 2, 0, 0, 4];?s?u?u?s?u;-0.0;2
[1, 2, 3, 3, 4, 4, 0, 3];?l?u?d?d?s?s;-0.0;2
[1, 1, 1, 2, 0, 0, 3, 0];?l?l?l?u;-2.0;2
[1, 2, 2, 3, 3, 1, 4, 0];?l?u?u?d?d?l?s;-0.0;2
[2, 4, 1, 1, 1, 0, 1, 0];?u?s?l?l?l;-0.3333333333333333;2
[4, 2, 3, 2, 2, 1, 2, 1];?s?u?d?u?u?l?u?l;-0.0;2
[1, 1, 1, 1, 4, 1, 4, 4];?l?l?l?l?s?l?s?s;-0.0;2
[1, 2, 4, 2, 3, 0, 0, 0];?l?u?s?u?d;-0.0;2
[3, 2, 2, 3, 3, 2, 0, 2];?d?u?u?d?d?u;-0.16666666666666666;2
[1, 1, 4, 4, 1, 0, 1, 2];?l?l?s?s?l;-0.2;2
[1, 4, 3, 1, 4, 4, 2, 4];?l?s?d?l?s?s?u?s;-0.0;2
[2, 1, 3, 4, 3, 2, 3, 3];?u?l?d?s?d?u?d?d;-0.0;2
[4, 2, 2, 4, 4, 1, 2, 4];?s?u?u?s?s?l?u?s;-0.0;2
[2, 2, 2, 1, 3, 0, 1, 0];?u?u?u?l?d;-2.3333333333333335;2
[2, 2, 3, 3, 4, 1, 3, 2];?u?u?d?d?s?l?d?u;-0.0;2
[1, 2, 1, 2, 2, 1, 3, 1];?l?u?l?u?u?l?d?l;-0.11666666666666667;3
[1, 1, 1, 1, 4, 1, 4, 1];?l?l?l?l?s?l?s?l;-0.06349206349206349;3
[2, 1, 3, 2, 1, 2, 0, 2];?u?l?d?u?l?u;-3.0;3
[1, 2, 2, 3, 3, 2, 0, 3];?l?u?u?d?d?u;-0.8;3
[1, 4, 3, 1, 1, 0, 1, 0];?l?s?d?l?l;-0.16666666666666666;3
[1, 2, 2, 3, 1, 0, 1, 2];?l?u?u?d?l;-1.75;3
[1, 2, 3, 2, 1, 2, 0, 3];?l?u?d?u?l?u;-1.0;3
[3, 2, 2, 3, 1, 2, 0, 3];?d?u?u?d?l?u;-0.16666666666666666;3
[3, 1, 2, 3, 3, 0, 4, 3];?d?l?u?d?d;-0.25;3
[1, 3, 1, 2, 3, 3, 3, 2];?l?d?l?u?d?d?d?u;-0.42857142857142855;3
[1, 2, 2, 3, 3, 2, 0, 2];?l?u?u?d?d?u;-0.8;3
[1, 4, 3, 1, 1, 0, 1, 2];?l?s?d?l?l;-0.16666666666666666;3
[2, 2, 2, 4, 1, 3, 1, 3];?u?u?u?s?l?d?l?d;-0.0;3
[1, 2, 3, 1, 3, 0, 1, 0];?l?u?d?l?d;-2.2;3
[3, 2, 3, 2, 1, 0, 1, 0];?d?u?d?u?l;-0.6;3
[2, 2, 2, 1, 3, 2, 0, 3];?u?u?u?l?d?u;-3.2;3
[4, 3, 1, 2, 4, 0, 1, 2];?s?d?l?u?s;-0.0;3
[1, 3, 1, 2, 1, 3, 3, 4];?l?d?l?u?l?d?d?s;-0.0;3
[1, 2, 2, 3, 1, 2, 0, 3];?l?u?u?d?l?u;-2.2;3
[2, 2, 2, 1, 3, 0, 1, 0];?u?u?u?l?d;-2.3333333333333335;3
[1, 1, 4, 3, 3, 0, 4, 3];?l?l?s?d?d;-0.5;3
[4, 3, 1, 2, 4, 0, 1, 4];?s?d?l?u?s;-0.0;3
[2, 2, 2, 1, 3, 0, 1, 0];?u?u?u?l?d;-2.3333333333333335;3
[1, 2, 1, 2, 0, 4, 2, 4];?l?u?l?u;-1.0;3
[1, 2, 2, 3, 3, 2, 3, 2];?l?u?u?d?d?u?d?u;-0.38461538461538464;3
[1, 3, 1, 2, 1, 3, 0, 2];?l?d?l?u?l?d;-1.0;3
[1, 3, 3, 1, 1, 1, 1, 2];?l?d?d?l?l?l?l?u;-0.7142857142857143;3
[1, 1, 1, 2, 0, 0, 3, 3];?l?l?l?u;-2.0;3
[1, 1, 1, 2, 0, 0, 0, 2];?l?l?l?u;-2.0;3
[1, 2, 2, 3, 3, 2, 3, 0];?l?u?u?d?d?u?d;-0.4;3
[2, 4, 1, 1, 1, 0, 1, 0];?u?s?l?l?l;-0.3333333333333333;3
[1, 2, 2, 3, 1, 0, 1, 0];?l?u?u?d?l;-1.75;3
[3, 1, 2, 0, 1, 1, 3, 1];?d?l?u;-0.0;3
[1, 2, 2, 3, 3, 2, 0, 2];?l?u?u?d?d?u;-0.8;3
[1, 2, 1, 2, 2, 1, 1, 0];?l?u?l?u?u?l?l;-0.3;3
[2, 4, 1, 1, 1, 0, 3, 1];?u?s?l?l?l;-0.3333333333333333;3
[1, 3, 3, 3, 0, 4, 1, 0];?l?d?d?d;-99.16666666666667;3
[1, 1, 4, 4, 1, 0, 1, 2];?l?l?s?s?l;-0.2;3
[3, 1, 2, 3, 3, 0, 4, 3];?d?l?u?d?d;-0.25;3
[2, 2, 2, 1, 3, 0, 1, 0];?u?u?u?l?d;-2.3333333333333335;3
[1, 2, 2, 3, 3, 2, 0, 2];?l?u?u?d?d?u;-0.8;3
[1, 2, 2, 3, 3, 2, 0, 2];?l?u?u?d?d?u;-0.8;3
[1, 3, 3, 1, 3, 0, 1, 0];?l?d?d?l?d;-5.6;3
[2, 2, 3, 2, 2, 3, 1, 3];?u?u?d?u?u?d?l?d;-0.4444444444444444;3
[1, 1, 3, 2, 1, 2, 0, 3];?l?l?d?u?l?u;-3.0;3
[2, 2, 2, 3, 1, 0, 1, 0];?u?u?u?d?l;-1.5;3
[1, 2, 2, 3, 3, 2, 3, 2];?l?u?u?d?d?u?d?u;-0.38461538461538464;3
[1, 3, 1, 2, 1, 3, 0, 2];?l?d?l?u?l?d;-1.0;3
[1, 1, 1, 2, 0, 0, 1, 0];?l?l?l?u;-2.0;3
[1, 3, 3, 3, 0, 4, 3, 3];?l?d?d?d;-99.16666666666667;3
[1, 1, 3, 2, 1, 2, 0, 3];?l?l?d?u?l?u;-3.0;4
[1, 1, 3, 2, 1, 2, 0, 3];?l?l?d?u?l?u;-3.0;4
[2, 2, 3, 3, 0, 4, 1, 0];?u?u?d?d;-2.8;4
[1, 3, 2, 3, 1, 0, 1, 0];?l?d?u?d?l;-0.5;4
[2, 1, 3, 2, 1, 2, 0, 3];?u?l?d?u?l?u;-3.0;4
[3, 2, 3, 2, 1, 0, 1, 0];?d?u?d?u?l;-0.6;4
[1, 3, 3, 1, 3, 0, 1, 0];?l?d?d?l?d;-5.6;4
[1, 3, 3, 3, 0, 4, 3, 3];?l?d?d?d;-99.16666666666667;4
[1, 1, 2, 1, 0, 4, 3, 3];?l?l?u?l;-1.2;4
[2, 2, 2, 3, 1, 0, 1, 0];?u?u?u?d?l;-1.5;4
