Array;Mask;Score;Generacion
[4, 3, 4, 3, 4, 2, 2, 1];?s?d?s?d?s?u?u?l;-0.0;1
[1, 2, 1, 4, 0, 4, 0, 3];?l?u?l?s;-0.0;1
[2, 4, 3, 1, 3, 0, 1, 1];?u?s?d?l?d;-0.0;1
[3, 3, 1, 1, 0, 4, 0, 4];?d?d?l?l;-18.25;1
[1, 2, 4, 3, 3, 0, 4, 0];?l?u?s?d?d;-0.0;1
[1, 2, 4, 4, 3, 3, 3, 4];?l?u?s?s?d?d?d?s;-0.0;1
[1, 2, 3, 1, 2, 2, 2, 1];?l?u?d?l?u?u?u?l;-0.4;1
[1, 1, 4, 2, 4, 0, 3, 1];?l?l?s?u?s;-0.0;1
[2, 3, 2, 2, 1, 3, 3, 3];?u?d?u?u?l?d?d?d;-0.0;1
[3, 3, 4, 4, 0, 2, 0, 2];?d?d?s?s;-0.0;1
[2, 1, 3, 2, 2, 3, 3, 4];?u?l?d?u?u?d?d?s;-0.0;1
[2, 2, 4, 1, 0, 1, 0, 4];?u?u?s?l;-0.0;1
[4, 1, 2, 3, 4, 4, 2, 4];?s?l?u?d?s?s?u?s;-0.0;1
[3, 3, 1, 4, 1, 4, 2, 3];?d?d?l?s?l?s?u?d;-0.0;1
[4, 2, 2, 4, 1, 0, 3, 0];?s?u?u?s?l;-0.0;1
[2, 3, 1, 1, 0, 3, 0, 0];?u?d?l?l;-0.6;1
[2, 4, 1, 4, 2, 4, 1, 2];?u?s?l?s?u?s?l?u;-0.0;1
[4, 3, 1, 4, 0, 2, 1, 2];?s?d?l?s;-0.0;1
[2, 3, 1, 2, 1, 3, 0, 4];?u?d?l?u?l?d;-0.6666666666666666;1
[3, 4, 1, 4, 4, 4, 1, 0];?d?s?l?s?s?s?l;-0.0;1
[4, 1, 3, 1, 3, 1, 0, 2];?s?l?d?l?d?l;-0.0;1
[3, 4, 3, 2, 0, 4, 4, 4];?d?s?d?u;-0.0;1
[2, 3, 3, 2, 0, 1, 2, 4];?u?d?d?u;-1.0;1
