Array;Mask;Score;Generacion
[3, 4, 3, 3, 0, 1, 0, 2];?d?s?d?d;-1.3333333333333333;1
[4, 3, 2, 1, 3, 0, 4, 2];?s?d?u?l?d;-0.0;1
[4, 3, 1, 1, 3, 0, 3, 3];?s?d?l?l?d;-0.0;1
[4, 2, 3, 1, 1, 0, 4, 2];?s?u?d?l?l;-0.0;1
[4, 2, 4, 2, 4, 4, 2, 2];?s?u?s?u?s?s?u?u;-0.0;1
[4, 3, 3, 2, 0, 2, 0, 4];?s?d?d?u;-0.0;1
[3, 4, 4, 4, 3, 3, 2, 4];?d?s?s?s?d?d?u?s;-0.0;1
[1, 4, 2, 2, 4, 1, 3, 0];?l?s?u?u?s?l?d;-0.0;1
[1, 1, 1, 4, 3, 1, 3, 4];?l?l?l?s?d?l?d?s;-0.0;1
[2, 2, 2, 1, 3, 4, 1, 0];?u?u?u?l?d?s?l;-0.0;1
[1, 4, 4, 4, 2, 3, 1, 2];?l?s?s?s?u?d?l?u;-0.0;1
[1, 3, 4, 4, 1, 1, 2, 4];?l?d?s?s?l?l?u?s;-0.0;1
[4, 2, 4, 3, 4, 0, 2, 1];?s?u?s?d?s;-0.0;1
[1, 2, 2, 1, 1, 0, 1, 1];?l?u?u?l?l;-4.833333333333333;1
[2, 2, 1, 2, 3, 0, 2, 0];?u?u?l?u?d;-2.4;1
[1, 4, 3, 1, 3, 0, 3, 0];?l?s?d?l?d;-0.0;1
[3, 4, 3, 1, 4, 2, 2, 1];?d?s?d?l?s?u?u?l;-0.0;1
[3, 1, 1, 2, 0, 2, 1, 4];?d?l?l?u;-0.0;1
[1, 3, 4, 4, 3, 4, 3, 3];?l?d?s?s?d?s?d?d;-0.0;1
[1, 3, 3, 2, 1, 3, 3, 4];?l?d?d?u?l?d?d?s;-0.0;1
[3, 3, 4, 3, 4, 0, 1, 2];?d?d?s?d?s;-0.0;1
[2, 3, 1, 1, 4, 1, 3, 3];?u?d?l?l?s?l?d?d;-0.0;1
[1, 1, 4, 2, 3, 3, 1, 1];?l?l?s?u?d?d?l?l;-0.0;1
[4, 2, 3, 2, 1, 3, 2, 3];?s?u?d?u?l?d?u?d;-0.0;1
[1, 1, 3, 1, 0, 2, 3, 3];?l?l?d?l;-39.666666666666664;1
[3, 1, 1, 2, 4, 4, 2, 4];?d?l?l?u?s?s?u?s;-0.0;1
[1, 1, 4, 1, 3, 4, 0, 0];?l?l?s?l?d?s;-0.0;1
[4, 2, 3, 4, 0, 1, 0, 4];?s?u?d?s;-0.0;1
[3, 3, 1, 2, 3, 0, 2, 1];?d?d?l?u?d;-1.3333333333333333;1
[3, 3, 3, 3, 0, 4, 0, 3];?d?d?d?d;-1942.8;1
[3, 4, 3, 1, 3, 1, 1, 2];?d?s?d?l?d?l?l?u;-0.0;1
[3, 1, 1, 3, 3, 1, 1, 2];?d?l?l?d?d?l?l?u;-0.0;1
[2, 1, 2, 4, 3, 4, 1, 4];?u?l?u?s?d?s?l?s;-0.0;1
[3, 3, 3, 1, 3, 3, 0, 0];?d?d?d?l?d?d;-11.8;1
[1, 4, 1, 1, 0, 0, 2, 3];?l?s?l?l;-0.6666666666666666;1
[2, 1, 2, 1, 4, 0, 2, 2];?u?l?u?l?s;-0.2;1
[3, 3, 2, 4, 0, 0, 3, 2];?d?d?u?s;-0.0;1
[2, 4, 4, 3, 2, 2, 0, 4];?u?s?s?d?u?u;-0.0;1
[2, 3, 1, 4, 0, 0, 2, 4];?u?d?l?s;-0.0;1
[2, 2, 2, 1, 1, 2, 1, 1];?u?u?u?l?l?u?l?l;-1.1666666666666667;1
[3, 4, 2, 3, 0, 0, 1, 1];?d?s?u?d;-0.0;1
[4, 1, 1, 4, 0, 1, 3, 2];?s?l?l?s;-0.2;1
[3, 3, 3, 3, 2, 1, 0, 0];?d?d?d?d?u?l;-1.8;1
[2, 1, 4, 1, 1, 1, 4, 3];?u?l?s?l?l?l?s?d;-0.0;1
[4, 1, 4, 2, 3, 4, 0, 4];?s?l?s?u?d?s;-0.0;1
[2, 4, 1, 4, 1, 3, 1, 1];?u?s?l?s?l?d?l?l;-0.0;1
[1, 2, 4, 3, 2, 4, 1, 3];?l?u?s?d?u?s?l?d;-0.0;1
[3, 2, 4, 1, 3, 2, 2, 3];?d?u?s?l?d?u?u?d;-0.0;1
[3, 2, 4, 2, 0, 3, 4, 2];?d?u?s?u;-0.0;1
[2, 3, 1, 4, 3, 1, 1, 4];?u?d?l?s?d?l?l?s;-0.0;1
[1, 3, 4, 2, 3, 0, 2, 1];?l?d?s?u?d;-0.0;1
[4, 2, 4, 2, 2, 3, 2, 0];?s?u?s?u?u?d?u;-0.0;1
[1, 4, 4, 3, 3, 2, 0, 0];?l?s?s?d?d?u;-0.0;1
[4, 1, 3, 2, 1, 0, 4, 3];?s?l?d?u?l;-0.0;1
[2, 1, 4, 1, 2, 0, 0, 4];?u?l?s?l?u;-0.2;1
[3, 3, 4, 3, 3, 4, 4, 0];?d?d?s?d?d?s?s;-0.0;1
[4, 3, 4, 3, 2, 1, 4, 4];?s?d?s?d?u?l?s?s;-0.0;1
[3, 4, 2, 1, 3, 1, 0, 2];?d?s?u?l?d?l;-0.0;1
[2, 4, 4, 2, 0, 1, 0, 1];?u?s?s?u;-0.0;1
[3, 2, 2, 2, 0, 3, 1, 4];?d?u?u?u;-0.16666666666666666;1
[3, 2, 2, 3, 3, 1, 3, 3];?d?u?u?d?d?l?d?d;-0.0;1
[2, 1, 4, 4, 2, 0, 0, 0];?u?l?s?s?u;-0.0;1
[2, 1, 1, 2, 1, 0, 1, 2];?u?l?l?u?l;-9.0;1
[4, 1, 1, 1, 4, 4, 4, 3];?s?l?l?l?s?s?s?d;-0.0;1
