Iteracion,Puntuacion,Array
0,-17761.8,"[1, 1, 1, 1, 1, 1, 0, 0]"
1,-13640.4,"[3, 3, 3, 3, 3, 3, 0, 0]"
2,-4385.666666666667,"[1, 1, 1, 1, 1, 0, 3, 0]"
3,-1758.5,"[3, 3, 3, 3, 3, 0, 4, 4]"
4,-11367.0,"[3, 3, 3, 3, 3, 3, 0, 0]"
5,-2077.6666666666665,"[1, 1, 1, 1, 0, 4, 0, 0]"
6,-136.33333333333334,"[2, 2, 2, 2, 0, 3, 3, 0]"
7,-4385.666666666667,"[1, 1, 1, 1, 1, 0, 1, 3]"
8,-5262.8,"[1, 1, 1, 1, 1, 0, 3, 3]"
9,-14801.5,"[1, 1, 1, 1, 1, 1, 0, 0]"
10,-4385.666666666667,"[1, 1, 1, 1, 1, 0, 3, 0]"
11,-5262.8,"[1, 1, 1, 1, 1, 0, 1, 1]"
12,-3661.8,"[1, 1, 1, 1, 3, 3, 0, 0]"
13,-17761.8,"[1, 1, 1, 1, 1, 1, 0, 3]"
14,-12687.0,"[1, 1, 1, 1, 1, 1, 0, 0]"
15,-14801.5,"[1, 1, 1, 1, 1, 1, 0, 0]"
16,-17761.8,"[1, 1, 1, 1, 1, 1, 0, 1]"
17,-14801.5,"[1, 1, 1, 1, 1, 1, 0, 0]"
18,-1758.5,"[3, 3, 3, 3, 3, 0, 1, 0]"
19,-14801.5,"[1, 1, 1, 1, 1, 1, 0, 0]"
20,-3661.8,"[1, 1, 1, 1, 3, 3, 0, 0]"
21,-14801.5,"[1, 1, 1, 1, 1, 1, 0, 8]"
22,-5262.8,"[1, 1, 1, 1, 1, 0, 3, 0]"
23,-5262.8,"[1, 1, 1, 1, 1, 0, 3, 2]"
24,-1826.2,"[1, 1, 1, 3, 3, 3, 3, 0]"
25,-17761.8,"[1, 1, 1, 1, 1, 1, 0, 3]"
26,-681.0,"[2, 2, 2, 2, 2, 2, 0, 0]"
27,-1619.0,"[3, 3, 3, 3, 0, 1, 3, 0]"
28,-11367.0,"[3, 3, 3, 3, 3, 3, 0, 4]"
29,-17761.8,"[1, 1, 1, 1, 1, 1, 0, 0]"
